projectId,impact_category,process_name,kpi_name,actual,bp_lower_bound,bp_upper_bound,bp_range_display,unit,higher_is_better,importance_weight,score,phase wt,process wt,KPI wt,realized_value,unrealized_value,process_level_unrealized_value,phase_level_unrealized_value
P-NE-001,BR Insurance,compliance,avg insurance acquired cycle,12.81,7,14,< 7 days, days,FALSE,7,17,0.25,0.2,0.1,1.7,8.3,1.66,0.415
P-NE-001,BR Insurance,compliance,avg permit approval cycle,28.4,20,30,< 20 days, days,FALSE,7,8,0.25,0.2,0.45,3.6,41.4,8.28,2.07
P-NE-001,BR Insurance,compliance,avg sub COI received time,9.45,5,10,< 5 days, days,FALSE,6,11,0.25,0.2,0.15,1.65,13.35,2.67,0.6675
P-NE-001,BR Insurance,compliance,permit submission timeliness,0.323,0.95,1,> 95%, days,TRUE,8,34,0.25,0.2,0.3,10.2,19.8,3.96,0.99
P-NE-001,BR Insurance,designReview,clash detection rate,0.27,0.9,1,> 90%,%,TRUE,9,30,0.25,0.35,0.3,9,21,7.35,1.8375
P-NE-001,BR Insurance,designReview,drawings usage,0.279,0.9,1,> 90%,%,TRUE,6,31,0.25,0.35,0.35,10.85,24.15,8.4525,2.113125
P-NE-001,BR Insurance,designReview,photos usage,0.265,0.5,1.5,> 50%, count,TRUE,4,53,0.25,0.35,0.15,7.95,7.05,2.4675,0.616875
P-NE-001,BR Insurance,designReview,specifications usage,0.387,0.9,1,> 90%,%,TRUE,6,43,0.25,0.35,0.2,8.6,11.4,3.99,0.9975
P-NE-001,BR Insurance,financialSetup,budget to bid variance,0.022,0,0.05,< 5%,%,FALSE,9,56,0.25,0.15,0.25,14,11,1.65,0.4125
P-NE-001,BR Insurance,financialSetup,contingency adequacy,0.037,0.1,0.15,> 10%,%,TRUE,7,37,0.25,0.15,0.15,5.55,9.45,1.4175,0.354375
P-NE-001,BR Insurance,financialSetup,days until sub contracts executed,17.94,0.15,21,< 15 days, days,FALSE,8,51,0.25,0.15,0.2,10.2,9.8,1.47,0.3675
P-NE-001,BR Insurance,financialSetup,prime contract to budget variance,0.055,0,0.25,> 25%,%,FALSE,10,22,0.25,0.15,0.4,8.8,31.2,4.68,1.17
P-NE-001,BR Insurance,subcontractorPlanning,equipment cost variance,0.119,0,0.05,< 5%,%,FALSE,5,31,0.25,0.3,0.05,1.55,3.45,1.035,0.25875
P-NE-001,BR Insurance,subcontractorPlanning,gantt chart completion rate,0.1425,0.95,1,> 95%,%,TRUE,8,15,0.25,0.3,0.4,6,34,10.2,2.55
P-NE-001,BR Insurance,subcontractorPlanning,labor cost variance,0.123,0,0.05,< 5%,%,FALSE,10,27,0.25,0.3,0.15,4.05,10.95,3.285,0.82125
P-NE-001,BR Insurance,subcontractorPlanning,materials cost variance,0.118,0,0.05,< 5%,%,FALSE,10,32,0.25,0.3,0.1,3.2,6.8,2.04,0.51
P-NE-001,BR Insurance,subcontractorPlanning,schedule to bid variance,0.132,0,0.05,< 5%,%,FALSE,9,18,0.25,0.3,0.3,5.4,24.6,7.38,1.845
