projectId,region,projectManager,impact_category,action_item_type,action_item_id,description,required_action,weight
P-NE-001,Northeast,John Doe,BR Insurance,Change Orders,P-NE-001-CHA-04,Material substitution - steel supplier change,Verify specifications and update procurement,76
P-NE-001,Northeast,John Doe,BR Insurance,Incidents,P-NE-001-INC-02,Worker injury - minor cut on hand,Complete injury report and safety protocol review,68
P-NE-001,Northeast,John Doe,BR Insurance,Inspections,P-NE-001-INS-01,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,63
P-NE-001,Northeast,John Doe,BR Insurance,Late Payment,P-NE-001-LAT-07,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,79
P-NE-001,Northeast,John Doe,BR Insurance,Observations,P-NE-001-OBS-08,Schedule observation - critical path delay,Develop recovery plan and resource allocation,55
P-NE-001,Northeast,John Doe,BR Insurance,Punch Items,P-NE-001-PUN-03,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,51
P-NE-001,Northeast,John Doe,BR Insurance,RFIs,P-NE-001-RFI-06,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,60
P-NE-001,Northeast,John Doe,BR Insurance,Submittals,P-NE-001-SUB-05,Submittal - roofing material samples,Coordinate color selection with client,60
P-NE-001,Northeast,John Doe,CA Insurance,Change Orders,P-NE-001-CHA-04,Material substitution - steel supplier change,Verify specifications and update procurement,77
P-NE-001,Northeast,John Doe,CA Insurance,Incidents,P-NE-001-INC-02,Worker injury - minor cut on hand,Complete injury report and safety protocol review,76
P-NE-001,Northeast,John Doe,CA Insurance,Inspections,P-NE-001-INS-01,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,65
P-NE-001,Northeast,John Doe,CA Insurance,Late Payment,P-NE-001-LAT-07,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,63
P-NE-001,Northeast,John Doe,CA Insurance,Observations,P-NE-001-OBS-08,Schedule observation - critical path delay,Develop recovery plan and resource allocation,57
P-NE-001,Northeast,John Doe,CA Insurance,Punch Items,P-NE-001-PUN-03,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,54
P-NE-001,Northeast,John Doe,CA Insurance,RFIs,P-NE-001-RFI-06,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,61
P-NE-001,Northeast,John Doe,CA Insurance,Submittals,P-NE-001-SUB-05,Submittal - roofing material samples,Coordinate color selection with client,43
P-NE-001,Northeast,John Doe,Cost,Change Orders,P-NE-001-CHA-04,Material substitution - steel supplier change,Verify specifications and update procurement,91
P-NE-001,Northeast,John Doe,Cost,Incidents,P-NE-001-INC-02,Worker injury - minor cut on hand,Complete injury report and safety protocol review,79
P-NE-001,Northeast,John Doe,Cost,Inspections,P-NE-001-INS-01,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,55
P-NE-001,Northeast,John Doe,Cost,Late Payment,P-NE-001-LAT-07,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,90
P-NE-001,Northeast,John Doe,Cost,Observations,P-NE-001-OBS-08,Schedule observation - critical path delay,Develop recovery plan and resource allocation,64
P-NE-001,Northeast,John Doe,Cost,Punch Items,P-NE-001-PUN-03,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,55
P-NE-001,Northeast,John Doe,Cost,RFIs,P-NE-001-RFI-06,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,79
P-NE-001,Northeast,John Doe,Cost,Submittals,P-NE-001-SUB-05,Submittal - roofing material samples,Coordinate color selection with client,68
P-NE-001,Northeast,John Doe,GL Insurance,Change Orders,P-NE-001-CHA-04,Material substitution - steel supplier change,Verify specifications and update procurement,69
P-NE-001,Northeast,John Doe,GL Insurance,Incidents,P-NE-001-INC-02,Worker injury - minor cut on hand,Complete injury report and safety protocol review,91
P-NE-001,Northeast,John Doe,GL Insurance,Inspections,P-NE-001-INS-01,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,63
P-NE-001,Northeast,John Doe,GL Insurance,Late Payment,P-NE-001-LAT-07,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,51
P-NE-001,Northeast,John Doe,GL Insurance,Observations,P-NE-001-OBS-08,Schedule observation - critical path delay,Develop recovery plan and resource allocation,72
P-NE-001,Northeast,John Doe,GL Insurance,Punch Items,P-NE-001-PUN-03,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,57
P-NE-001,Northeast,John Doe,GL Insurance,RFIs,P-NE-001-RFI-06,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,70
P-NE-001,Northeast,John Doe,GL Insurance,Submittals,P-NE-001-SUB-05,Submittal - roofing material samples,Coordinate color selection with client,65
P-NE-001,Northeast,John Doe,Safety,Change Orders,P-NE-001-CHA-04,Material substitution - steel supplier change,Verify specifications and update procurement,65
P-NE-001,Northeast,John Doe,Safety,Incidents,P-NE-001-INC-02,Worker injury - minor cut on hand,Complete injury report and safety protocol review,82
P-NE-001,Northeast,John Doe,Safety,Inspections,P-NE-001-INS-01,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,73
P-NE-001,Northeast,John Doe,Safety,Late Payment,P-NE-001-LAT-07,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,55
P-NE-001,Northeast,John Doe,Safety,Observations,P-NE-001-OBS-08,Schedule observation - critical path delay,Develop recovery plan and resource allocation,85
P-NE-001,Northeast,John Doe,Safety,Punch Items,P-NE-001-PUN-03,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,79
P-NE-001,Northeast,John Doe,Safety,RFIs,P-NE-001-RFI-06,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,78
P-NE-001,Northeast,John Doe,Safety,Submittals,P-NE-001-SUB-05,Submittal - roofing material samples,Coordinate color selection with client,64
P-NE-001,Northeast,John Doe,Schedule,Change Orders,P-NE-001-CHA-04,Material substitution - steel supplier change,Verify specifications and update procurement,88
P-NE-001,Northeast,John Doe,Schedule,Incidents,P-NE-001-INC-02,Worker injury - minor cut on hand,Complete injury report and safety protocol review,52
P-NE-001,Northeast,John Doe,Schedule,Inspections,P-NE-001-INS-01,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,86
P-NE-001,Northeast,John Doe,Schedule,Late Payment,P-NE-001-LAT-07,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,53
P-NE-001,Northeast,John Doe,Schedule,Observations,P-NE-001-OBS-08,Schedule observation - critical path delay,Develop recovery plan and resource allocation,74
P-NE-001,Northeast,John Doe,Schedule,Punch Items,P-NE-001-PUN-03,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,66
P-NE-001,Northeast,John Doe,Schedule,RFIs,P-NE-001-RFI-06,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,87
P-NE-001,Northeast,John Doe,Schedule,Submittals,P-NE-001-SUB-05,Submittal - roofing material samples,Coordinate color selection with client,70
P-NE-001,Northeast,John Doe,WC Insurance,Change Orders,P-NE-001-CHA-04,Material substitution - steel supplier change,Verify specifications and update procurement,53
P-NE-001,Northeast,John Doe,WC Insurance,Incidents,P-NE-001-INC-02,Worker injury - minor cut on hand,Complete injury report and safety protocol review,84
P-NE-001,Northeast,John Doe,WC Insurance,Inspections,P-NE-001-INS-01,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,75
P-NE-001,Northeast,John Doe,WC Insurance,Late Payment,P-NE-001-LAT-07,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,57
P-NE-001,Northeast,John Doe,WC Insurance,Observations,P-NE-001-OBS-08,Schedule observation - critical path delay,Develop recovery plan and resource allocation,87
P-NE-001,Northeast,John Doe,WC Insurance,Punch Items,P-NE-001-PUN-03,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,71
P-NE-001,Northeast,John Doe,WC Insurance,RFIs,P-NE-001-RFI-06,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,60
P-NE-001,Northeast,John Doe,WC Insurance,Submittals,P-NE-001-SUB-05,Submittal - roofing material samples,Coordinate color selection with client,56
P-SE-002,Southeast,Jane Smith,BR Insurance,Change Orders,P-SE-002-CHA-01,Material substitution - steel supplier change,Verify specifications and update procurement,81
P-SE-002,Southeast,Jane Smith,BR Insurance,Incidents,P-SE-002-INC-05,Equipment malfunction - crane hydraulics,Schedule immediate equipment inspection and repair,71
P-SE-002,Southeast,Jane Smith,BR Insurance,Inspections,P-SE-002-INS-06,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,53
P-SE-002,Southeast,Jane Smith,BR Insurance,Late Payment,P-SE-002-LAT-08,Equipment rental payment late,Process payment to avoid service interruption,95
P-SE-002,Southeast,Jane Smith,BR Insurance,Observations,P-SE-002-OBS-04,Quality observation - misaligned window frames,Coordinate with trades to correct alignment,68
P-SE-002,Southeast,Jane Smith,BR Insurance,Punch Items,P-SE-002-PUN-03,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,45
P-SE-002,Southeast,Jane Smith,BR Insurance,RFIs,P-SE-002-RFI-02,RFI - structural connection detail clarification,"High priority RFI, needs immediate architect response",73
P-SE-002,Southeast,Jane Smith,BR Insurance,Submittals,P-SE-002-SUB-07,Submittal - roofing material samples,Coordinate color selection with client,57
P-SE-002,Southeast,Jane Smith,CA Insurance,Change Orders,P-SE-002-CHA-01,Material substitution - steel supplier change,Verify specifications and update procurement,72
P-SE-002,Southeast,Jane Smith,CA Insurance,Incidents,P-SE-002-INC-05,Equipment malfunction - crane hydraulics,Schedule immediate equipment inspection and repair,73
P-SE-002,Southeast,Jane Smith,CA Insurance,Inspections,P-SE-002-INS-06,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,45
P-SE-002,Southeast,Jane Smith,CA Insurance,Late Payment,P-SE-002-LAT-08,Equipment rental payment late,Process payment to avoid service interruption,71
P-SE-002,Southeast,Jane Smith,CA Insurance,Observations,P-SE-002-OBS-04,Quality observation - misaligned window frames,Coordinate with trades to correct alignment,71
P-SE-002,Southeast,Jane Smith,CA Insurance,Punch Items,P-SE-002-PUN-03,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,49
P-SE-002,Southeast,Jane Smith,CA Insurance,RFIs,P-SE-002-RFI-02,RFI - structural connection detail clarification,"High priority RFI, needs immediate architect response",55
P-SE-002,Southeast,Jane Smith,CA Insurance,Submittals,P-SE-002-SUB-07,Submittal - roofing material samples,Coordinate color selection with client,42
P-SE-002,Southeast,Jane Smith,Cost,Change Orders,P-SE-002-CHA-01,Material substitution - steel supplier change,Verify specifications and update procurement,91
P-SE-002,Southeast,Jane Smith,Cost,Incidents,P-SE-002-INC-05,Equipment malfunction - crane hydraulics,Schedule immediate equipment inspection and repair,79
P-SE-002,Southeast,Jane Smith,Cost,Inspections,P-SE-002-INS-06,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,73
P-SE-002,Southeast,Jane Smith,Cost,Late Payment,P-SE-002-LAT-08,Equipment rental payment late,Process payment to avoid service interruption,85
P-SE-002,Southeast,Jane Smith,Cost,Observations,P-SE-002-OBS-04,Quality observation - misaligned window frames,Coordinate with trades to correct alignment,58
P-SE-002,Southeast,Jane Smith,Cost,Punch Items,P-SE-002-PUN-03,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,54
P-SE-002,Southeast,Jane Smith,Cost,RFIs,P-SE-002-RFI-02,RFI - structural connection detail clarification,"High priority RFI, needs immediate architect response",82
P-SE-002,Southeast,Jane Smith,Cost,Submittals,P-SE-002-SUB-07,Submittal - roofing material samples,Coordinate color selection with client,64
