projectId,startDate,endDate,ProjValue,impact_category,process_name,kpi_name,actual,bp_lower_bound,bp_upper_bound,bp_range_display,unit,higher_is_better,importance_weight,score,phase wt,process wt,KPI wt,realized_value,unrealized_value,process_level_unrealized_value,phase_level_unrealized_value,ID,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,communication,Daily Logs Delay,2.76,0,1,Same day, days,FALSE,2,8,0.6,0.15,0.2,1.6,18.4,2.76,1.656,P-NE-001BR Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,communication,Daily Logs Rate,0.18,0,1,> 1/day,/day,TRUE,2,18,0.6,0.15,0.15,2.7,12.3,1.845,1.107,P-NE-001BR Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,communication,Meetings Documentation,0.35,0,1,"Minutes, Topic & Attachment", types,TRUE,1,35,0.6,0.15,0.3,10.5,19.5,2.925,1.755,P-NE-001BR Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,communication,Meetings Rate,0.0518,0,0.14,> 1/week,/week,TRUE,1,37,0.6,0.15,0.35,12.95,22.05,3.3075,1.9845,P-NE-001BR Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,financial,Budgets Create Date,19.8,-30,0,> 30 days pre kickoff, days prior,TRUE,1,17,0.6,0.1,0.15,2.55,12.45,1.245,0.747,P-NE-001BR Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,financial,Budgets Usage Rate,0.44,0,1,> 1/proj day,/day,TRUE,4,44,0.6,0.1,0.1,4.4,5.6,0.56,0.336,P-NE-001BR Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,financial,Change Order Time to Close,8.12,0,14,< 14 days, days,FALSE,3,42,0.5,0.2,0.3,12.6,17.4,3.48,1.74,P-NE-001BR Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,financial,Change Order to Budget Ratio,0.057,0,0.1,< 10%,%,FALSE,3,43,0.6,0.1,0.25,10.75,14.25,1.425,0.855,P-NE-001BR Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,financial,Contract to Budget Ratio (Deviation),0.0575,0,0.25,>25%,%,FALSE,3,23,0.6,0.1,0.1,2.3,7.7,0.77,0.462,P-NE-001BR Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,financial,Invoice to Contract Ratio (Deviation),0.053,0,0.1,< 10%,%,FALSE,2,47,0.6,0.1,0.05,2.35,2.65,0.265,0.159,P-NE-001BR Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,financial,Payments to Invoices Ratio (Deviation),0.079,0,0.1,< 10%,%,FALSE,4,21,0.6,0.1,0.05,1.05,3.95,0.395,0.237,P-NE-001BR Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,operations,RFIs Closed on Time,0.04,0.8,1,> 80%,%,TRUE,3,10,0.6,0.5,0.1,1,9,4.5,2.7,P-NE-001BR Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,operations,RFIs Lead Time,1.54,7,99,> 7 days, days,TRUE,2,27,0.6,0.5,0.4,10.8,29.2,14.6,8.76,P-NE-001BR Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,operations,RFIs Rate,0.081,0.3,0.5,30-50%, days,FALSE,2,32,0.5,0.3,0.2,6.4,13.6,4.08,2.04,P-NE-001BR Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,operations,Submittals Closed on Time,0.192,0.8,1,> 80%,%,TRUE,3,29,0.6,0.5,0.05,1.45,3.55,1.775,1.065,P-NE-001BR Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,operations,Submittals Lead Time,2.1,21,99,> 21 days, days,TRUE,2,15,0.6,0.5,0.1,1.5,8.5,4.25,2.55,P-NE-001BR Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,operations,Submittals Rate,0.032,0.8,1,> 80%,%,TRUE,3,9,0.5,0.3,0.15,1.35,13.65,4.095,2.0475,P-NE-001BR Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,quality,Observation Rate,0.0294,0,0.14,> 1/week,/week,TRUE,2,23,0.6,0.05,0.15,3.45,11.55,0.5775,0.3465,P-NE-001BR Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,quality,Observations Closed on Time,0.088,0.8,1,> 80%,%,TRUE,2,13,0.6,0.05,0.35,4.55,30.45,1.5225,0.9135,P-NE-001BR Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,quality,Quality Insp. Attach. Rate,0.12,1,99,> 1/insp.,/insp.,TRUE,2,14,0.6,0.05,0.1,1.4,8.6,0.43,0.258,P-NE-001BR Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,quality,Quality Inspection Rate,0.0224,0,0.14,> 1/week,/week,TRUE,4,18,0.6,0.05,0.4,7.2,32.8,1.64,0.984,P-NE-001BR Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,safety,Incident Detail Quality,0.0266,0.9,1,> 90%,%,TRUE,1,9,0.6,0.2,0.15,1.35,13.65,2.73,1.638,P-NE-001BR Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,safety,Incident Rate,1.64,0,0,0, incidents,FALSE,4,13,0.6,0.2,0.2,2.6,17.4,3.48,2.088,P-NE-001BR Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,safety,Near Miss Detail Quality,0,0.9,1,> 90%,%,TRUE,1,0,0,0,0,0,0,0,0,P-NE-001BR Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,safety,Near Miss Rate,0,0,0,0, near misses,FALSE,2,0,0,0,0,0,0,0,0,P-NE-001BR Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,safety,Safety Insp. Attach. Rate,0.16,1,99,> 1/insp.,/insp.,TRUE,2,11,0.6,0.2,0.05,0.55,4.45,0.89,0.534,P-NE-001BR Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,safety,Safety Inspection Rate,0.0014,0,0.14,> 1/week,/week,TRUE,3,0,0.6,0.2,0.3,0,30,6,3.6,P-NE-001BR Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,BR Insurance,safety,Safety Training,0.198,0.9,1,> 90%,%,TRUE,3,17,0.6,0.2,0.3,5.1,24.9,4.98,2.988,P-NE-001BR Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,communication,Daily Logs Delay,2.19,0,1,Same day, days,FALSE,2,27,0.6,0.15,0.3,8.1,21.9,3.285,1.971,P-NE-001CA Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,communication,Daily Logs Rate,0.2,0,1,> 1/day,/day,TRUE,2,20,0.6,0.15,0.2,4,16,2.4,1.44,P-NE-001CA Insurancecommunication,,,,,,,
